artist_name.x,track_name.y,year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,duration_ms
Chromeo,Don’t Turn The Lights On,2011,0.703,0.841,-5.183,0.0438,6.23e-4,0.00916,0.0855,115.989,0.752,277066
Chvrches,We Sink,2014,0.60675,0.7977500000000001,-6.5135000000000005,0.038525,9.9725e-5,3.63e-4,0.5695,125.0595,0.44375,213073
Coasts,Tonight,2016,0.34099999999999997,0.8845000000000001,-3.468,0.06520000000000001,0.00758,1.28e-5,0.272,158.937,0.4305,247307
Courtney Barnett,City Looks Pretty,2019,0.30474999999999997,0.7857500000000001,-6.7212499999999995,0.034725,0.006905,0.0049775,0.115,127.967,0.18575,281586
Crystal Fighters,Another Level,2019,0.613,0.813,-7.275,0.095,0.00768,0,0.708,96.03,0.814,186307
Crystal Fighters,Follow,2013,0.536,0.773,-5.838,0.0664,0.431,0.0683,0.0607,151.956,0.673,196480
Crystal Fighters,Love Natural,2014,0.653,0.7923333333333333,-6.227,0.048666666666666664,0.0369,0,0.32033333333333336,133.05866666666668,0.611,199524
CSS,Hits Me Like A Rock,2012,0.575,0.7545,-6.0105,0.02885,0.013649999999999999,2.485e-5,0.248,94.997,0.661,216406.5
CSS,Jager Yoga,2009,0.738,0.769,-3.472,0.0331,0.00116,5.65e-5,0.172,140.01,0.939,228946
Cut Off Your Hands,Happy As Can Be,2010,0.16899999999999998,0.928,-3.1435,0.055099999999999996,4.05e-4,0.01685,0.2535,158.5965,0.45199999999999996,213840
Damian (Jr. Gong) Marley,Welcome To Jamrock,2006,0.7126666666666667,0.672,-7.564,0.26333333333333336,0.11773333333333333,0,0.5640000000000001,102.10300000000001,0.7863333333333333,252021
Dan Black,Wonder,2011,0.6375,0.5865,-6.819,0.0403,0.00206,0.005945000000000001,0.08225,78.99449999999999,0.431,222626.5
Dan Croll,Compliment Your Soul,2014,0.244,0.877,-3.626,0.0536,4.63e-4,0.0128,0.462,82.922,0.473,181846
Dananananaykroyd,Black Wax,2010,0.48850000000000005,0.923,-4.1135,0.138,0.09965,0,0.16,137.01100000000002,0.368,244546.5
Datarock,Fa-Fa-Fa,2008,0.715,0.8996666666666667,-4.934666666666667,0.043166666666666666,0.007716666666666667,0.00159,0.044899999999999995,134.87666666666667,0.96,307395.3333333333
Datarock,Give It Up,2010,0.6593333333333333,0.9676666666666667,-5.632,0.060566666666666664,3.186666666666667e-4,0.0049499999999999995,0.269,139.99566666666666,0.8893333333333333,167669
Datarock,True Stories,2009,0.678,0.8706666666666667,-4.218,0.099,5.54e-4,4.6e-7,0.057633333333333335,137.01466666666667,0.9173333333333333,169519.66666666666
Dax Riders,Real Fonky Time,2003,0.896,0.714,-4.567,0.04735,0.00481,0,0.1235,108.967,0.8385,212239.5
De Staat,Down Town,2014,0.461,0.881,-5.728,0.0885,3.3e-4,4.57e-5,0.792,152.954,0.794,188386
Death Cab For Cutie,Gold Rush,2019,0.518,0.96,-4.466,0.0504,0.254,2.33e-4,0.311,80.43,0.826,240253
Death From Above 1979,Crystal Ball,2015,0.42033333333333334,0.945,-2.6670000000000003,0.08056666666666668,1.0019999999999999e-5,1.705333333333333e-5,0.0395,147.996,0.531,171417.33333333334
Declan McKenna,Isombard,2017,0.401,0.907,-7.310499999999999,0.04535,5.705e-4,0.0669,0.2985,169.9715,0.3635,223835.5
Digitalism,Circles,2012,0.43316666666666664,0.9346666666666666,-4.352,0.3496666666666667,0.0034483333333333336,0.003473333333333333,0.10358333333333333,140.0065,0.2855,227633.16666666666
Digitalism,Pogo,2008,0.403,0.7484999999999999,-5.255,0.044399999999999995,6.27e-5,7.625e-5,0.5275000000000001,136.017,0.395,226466
Disco Ensemble,We Might Fall Apart,2008,0.451,0.972,-4.7415,0.0953,0.01069,0,0.06625,172.0545,0.546,268799.5
DJ Bitman,Me Gustan,2009,0.767,0.889,-5.919,0.0396,0.0537,0.178,0.105,109.987,0.857,175853
DJ Raff,Latino & Proud,2012,0.8273333333333334,0.544,-5.596333333333333,0.2886666666666667,0.09536666666666667,6.677e-4,0.2936666666666667,97.98766666666667,0.965,220311.66666666666
DJ Tiësto,Flight 643,2002,0.6206666666666667,0.9731666666666666,-5.974333333333334,0.10826666666666666,0.0036,0.8705,0.09981666666666666,137.00799999999998,0.22033333333333333,482209.6666666667
Django Django,Hail Bop,2013,0.623,0.7473333333333333,-7.2893333333333334,0.03256666666666667,0.031733333333333336,0.6799999999999999,0.194,123.762,0.5730000000000001,243329
Django Django,Tic Tac Toe,2018,0.5135000000000001,0.9175,-7.425,0.0466,5.36e-4,4.715e-4,0.1085,133.05349999999999,0.533,234514
DMA’s,Play It Out,2017,0.332,0.9606666666666667,-1.9296666666666666,0.0463,2.13e-5,1.9566666666666667e-5,0.06446666666666667,120.845,0.23633333333333334,204919.33333333334
Dover,Do Ya,2008,0.609,0.808,-2.079,0.0508,0.00506,2.93e-4,0.0853,131.99,0.56,180093
Duffy,Mercy,2009,0.7926666666666667,0.857,-3.7584999999999997,0.033416666666666664,0.26316666666666666,3.063333333333333e-4,0.12683333333333333,129.9075,0.9641666666666666,219920
Dum Dum Girls,It Only Takes One Night,2011,0.312,0.94,-3.356,0.042,0.0016,2.83e-4,0.528,171.971,0.532,122293
Ebony Bones,W.A.R.R.I.O.R.,2011,0.675,0.946,-5.3614999999999995,0.253,0.3055,1.8649999999999998e-4,0.4945,135.0925,0.484,208413
Embrace,Ashes,2006,0.42633333333333334,0.76,-7.588333333333333,0.0352,0.10493333333333334,0,0.12433333333333334,138.10033333333334,0.41333333333333333,261430.66666666666
Empire Of The Sun,Alive,2014,0.524,0.8835,-3.0585,0.03685,0.10385,5.5e-7,0.07089999999999999,119.947,0.397,204568.5
Empire Of The Sun,High And Low,2017,0.512,0.768,-4.673,0.045,0.0213,3.2e-6,0.0918,126.907,0.322,224840
Empresarios,Sabor Tropical,2012,0.811,0.928,-6.464,0.045,0.303,5.37e-4,0.0813,110.024,0.673,212149
Epik High,Fly,2007,0.7053333333333333,0.96,-2.6956666666666664,0.0551,0.055233333333333336,0,0.12533333333333332,128.03333333333333,0.9213333333333333,201466
